Window,SL Multiplier,Either Candle,Same Candle,Two Lots One Candle,Either Candle - Diff,Either Candle - % Change,Two Lots One Candle - Diff,Two Lots One Candle - % Change,Metric
7,2.5,213.29499999998689,192.7299999999877,182.2399999999861,20.564999999999173,10.670367872153005,-10.4900000000016,-5.44284750687608,Max Drawdown
7,2.75,216.84749999998667,195.66499999998905,185.4349999999881,21.182499999997617,10.825901413128971,-10.230000000000956,-5.228323920988183,Max Drawdown
7,3.0,202.54999999998745,180.7499999999891,171.13999999998668,21.799999999998363,12.060857538035783,-9.610000000002401,-5.3167358229615385,Max Drawdown
7,3.25,207.22999999998865,181.26749999998856,171.78999999998632,25.96250000000009,14.3227550443415,-9.477500000002237,-5.228460700347737,Max Drawdown
7,3.5,222.39499999998725,177.27999999998883,172.39999999998872,45.11499999999842,25.448443140794936,-4.880000000000109,-2.752707581227672,Max Drawdown
7,3.75,223.44249999998877,182.74999999999045,178.71249999998963,40.69249999999832,22.26675786593732,-4.0375000000008185,-2.209302325581959,Max Drawdown
7,4.0,225.4399999999905,185.9099999999912,181.8399999999901,39.52999999999932,21.262976709160988,-4.070000000001073,-2.1892313485026444,Max Drawdown
8,1.0,185.45999999999825,156.38999999999442,146.51999999999498,29.07000000000383,18.588145022063348,-9.869999999999436,-6.311145213888221,Max Drawdown
8,1.5,214.55999999999813,174.9849999999933,166.08499999999367,39.57500000000482,22.61622424779629,-8.899999999999636,-5.086150241449254,Max Drawdown
8,2.0,225.4099999999944,152.8199999999997,152.06000000000083,72.58999999999469,47.50032718230259,-0.7599999999988825,-0.49731710509022636,Max Drawdown
8,2.5,248.5799999999963,179.8399999999947,165.099999999994,68.7400000000016,38.22286476868529,-14.740000000000691,-8.196174377224825,Max Drawdown
8,2.75,247.689999999996,179.28999999999405,164.45499999999447,68.40000000000194,38.150482458588996,-14.834999999999582,-8.274304199899646,Max Drawdown
8,3.0,206.30999999999997,164.98999999999978,163.0600000000004,41.32000000000019,25.04394205709452,-1.9299999999993815,-1.1697678647187006,Max Drawdown
